entry_date,exit_date,side,entry_price,exit_price,holding_days,trade_return,status
2010-10-21,2011-08-04,Long,89.42115020751953,92.36541748046876,198,0.08390983526867868,Closed
2011-12-23,2012-07-17,Long,98.1946258544922,106.95610809326172,140,0.08929679222444431,Closed
2012-08-13,2015-08-31,Long,110.41515350341795,164.80459594726562,766,0.5009918171301233,Closed
2015-12-09,2016-01-25,Long,172.0894012451172,158.19140625,30,-0.07577050587113054,Closed
2016-04-20,2018-05-31,Long,178.04010009765625,238.8119354248047,532,0.3481928150555471,Closed
2018-06-06,2018-12-03,Long,244.5059814453125,248.40557861328125,125,0.009041899995889446,Closed
2019-03-25,2020-03-27,Long,250.72311401367188,232.35557556152344,255,-0.04743396720771087,Closed
2020-07-07,2022-03-09,Long,288.96441650390625,402.15826416015625,422,0.33870907832253083,Closed
2023-01-05,2023-11-29,Long,362.7570495605469,439.5154724121094,226,0.19620211650294372,Closed
2023-12-04,2025-04-08,Long,441.5264892578125,489.5918273925781,336,0.1183466099338133,Closed
2025-07-02,2025-12-31,Long,613.6505737304688,678.3152465820312,127,0.1092826172331478,Open
